"""Club"""",""""Last Name"""",""First Name"",""Age"",""MinutesPlayed"",""X"",""Playing Position"",""Salary"
"""Atlanta United"",""Adams"",""Mohammed Mo"",""22"",""93"",""387"",""M"",""135000"""
"""Atlanta United"",""Ambrose"",""Mikey"",""25"",""266"",""4"",""D"",""72352"""
"""Atlanta United"",""Barco"",""Ezequiel"",""19"",""975"",""4"",""F"",""1425000"
"""Atlanta United"",""Carleton"",""Andrew"",""18"",""67"",""164"",""M"",""97400"
"""Atlanta United"",""Escobar"",""Franco"",""23"",""2013"",""44"",""D"",""300000"
"""Atlanta United"",""Gallagher"",""Jon"",""22"",""0"",""0"",""M"",""70250"
"""Atlanta United"",""Gonzalez Pirez"",""Leandro"",""26"",""2699"",""54"",""D"",""810008"
"""Atlanta United"",""Gressel"",""Julian"",""26"",""2686"",""7954"",""M"",""133000"
"""Atlanta United"",""Guzan"",""Brad"",""34"",""3060"",""43"",""GK"",""740004"
"""Atlanta United"",""Hyndman"",""Emerson"",""22"",""987"",""1723"",""M"",""360000"
"""Atlanta United"",""Kann"",""Alec"",""28"",""0"",""0"",""GK"",""100008"
"""Atlanta United"",""Kratz"",""Kevin"",""32"",""1"",""16"",""M"",""222750"
"""Atlanta United"",""Larentowicz"",""Jeff"",""35"",""1473"",""20"",""D"",""210000"
"""Atlanta United"",""Martinez"",""Josef"",""25"",""2578"",""24"",""F"",""3058333"
"""Atlanta United"",""Martinez"",""Pity Nicolas"",""25"",""2140"",""5"",""F"",""900000"
"""Atlanta United"",""Meram"",""Justin"",""30"",""1645"",""2976"",""M"",""678754"
"""Atlanta United"",""Moore"",""Brendan"",""26"",""0"",""0"",""GK"",""70250"
"""Atlanta United"",""Nagbe"",""Darlington"",""28"",""2822"",""6440"",""M"",""665500"
"""Atlanta United"",""Wild"",""Gordon"",""23"",""0"",""0"",""M"",""130000"
"""Atlanta United"",""Williams"",""Romario"",""24"",""39"",""0"",""F"",""78650"
"""Atlanta United"",""Parkhurst"",""Michael"",""35"",""1444"",""11"",""D"",""300000"
"""Atlanta United"",""Pereira"",""Dion"",""19"",""671"",""687"",""M"",""56250"
"""Atlanta United"",""Pogba"",""Florentin"",""28"",""783"",""10"",""D"",""324000"
"""Atlanta United"",""Remedi"",""Eric"",""23"",""2050"",""32"",""D"",""300000"
"""Atlanta United"",""Robinson"",""Miles"",""21"",""2979"",""51"",""D"",""201250"
"""Atlanta United"",""Shea"",""Brek"",""28"",""911"",""10"",""D"",""225000"
"""Atlanta United"",""Vazquez"",""Brandon"",""20"",""638"",""2"",""F"",""166000"
"""Atlanta United"",""Villalba"",""Hector"",""24"",""940"",""955"",""M"",""830250"
"""Chicago Fire"",""Bornstein"",""Jonathan"",""34"",""911"",""11"",""D"",""263200"
"""Chicago Fire"",""Bronico"",""Brandt"",""23"",""1866"",""3864"",""M"",""90625"
"""Chicago Fire"",""Calvo"",""Francisco"",""26"",""2565"",""40"",""D"",""672600"
"""Chicago Fire"",""Campos"",""Diego"",""23"",""440"",""4"",""D"",""72825"
"""Chicago Fire"",""Cleveland"",""Stefan"",""24"",""0"",""0"",""GK"",""70250"
"""Chicago Fire"",""Corrales"",""Jorge Luis"",""27"",""1034"",""15"",""D"",""70250"
"""Chicago Fire"",""Edwards"",""Raheem"",""23"",""245"",""795"",""M"",""70250"
"""Chicago Fire"",""Ferreira"",""Marcelo"",""29"",""1151"",""21"",""D"",""797500"
"""Chicago Fire"",""Frankowski"",""Przemyslaw"",""23"",""2303"",""5"",""F"",""661688"
"""Chicago Fire"",""Gaitan"",""Nicolas"",""30"",""2006"",""4469"",""M"",""2197504"
"""Chicago Fire"",""Gutjahr"",""Jeremiah"",""21"",""503"",""1197"",""M"",""56250"
"""Chicago Fire"",""Herbers"",""Fabian"",""25"",""780"",""1010"",""M"",""135000"
"""Chicago Fire"",""Kappelhof"",""Johan"",""28"",""2560"",""37"",""D"",""577833"
"""Chicago Fire"",""Katai"",""Alek""Sandar"",""27"",""2100"",""3347"",""M"",""1380333"
"""Chicago Fire"",""Kronholm"",""Kenneth"",""33"",""1800"",""27"",""GK"",""150996"
"""Chicago Fire"",""Lillard"",""Grant"",""23"",""206"",""5"",""D"",""97500"
"""Chicago Fire"",""Martinez"",""Cristian"",""21"",""55"",""169"",""M"",""88407"
"""Chicago Fire"",""McCarty"",""Dax"",""31"",""2846"",""9143"",""M"",""700000"
"""Chicago Fire"",""Mihailovic"",""Djordje"",""20"",""1450"",""3593"",""M"",""114600"
"""Chicago Fire"",""Moreno"",""Amando"",""23"",""82"",""71"",""M"",""72750"
"""Chicago Fire"",""Nikolic"",""Nemanja"",""31"",""1991"",""12"",""F"",""1913333"
